title_pt;title_en;year;rating;genre;sinopse;sinopse_clean;title_pt_encoded;Cluster
Meu Amigo Totoro;175. My Neighbor Totoro;1988;8.1;Animação;Quando duas meninas se mudam para o campo para ficar perto de sua mãe doente, elas têm aventuras com os maravilhosos espíritos da floresta que moram nas proximidades.;Quando duas meninas mudam campo ficar perto mãe doente, têm aventuras maravilhosos espíritos floresta moram proximidades.;127;6
Menina de Ouro;176. Million Dollar Baby;2004;8.1;Drama;Uma mulher determinada se prepara para se tornar numa pugilista profissional.;Uma mulher determinada prepara tornar pugilista profissional.;125;8
Klaus;177. Klaus;2019;8.2;Animação;Um simples ato de bondade sempre provoca outro, mesmo em um lugar gelado e distante. Quando o novo carteiro de Smeerensburg faz amizade com o fabricante de brinquedos Klaus, seus presentes derreteram uma antiga inimizade.;Um simples ato bondade sempre provoca outro, lugar gelado distante. Quando novo carteiro Smeerensburg faz amizade fabricante brinquedos Klaus, presentes derreteram antiga inimizade.;113;3
Filhos do Paraíso;178. Children of Heaven;1997;8.2;Drama;Depois que uma criança perde o par de sapatos de sua irmã, ele embarca em uma série de aventuras para encontrá-los. Quando não consegue, ele tenta uma nova maneira de procurá-los.;Depois criança perde par sapatos irmã, embarca série aventuras encontrá-los. Quando consegue, tenta nova maneira procurá-los.;80;4
Harry Potter e as Relíquias da Morte - Parte 2;179. Harry Potter and the Deathly Hallows: Part 2;2011;8.1;Aventura;Harry, Ron e Hermione devem escapar a Voldemort e tentar trabalhar em conjunto para localizar e aniquilar os Horcruxes, que contêm pedaços da alma de Voldemort.;Harry, Ron Hermione devem escapar Voldemort tentar trabalhar conjunto localizar aniquilar Horcruxes, contêm pedaços alma Voldemort.;95;4
Blade Runner: O Caçador de Androides;180. Blade Runner;1982;8.1;Ação;Um corredor deberá perseguir é acabar com quatro replicantes que roubaram uma nave no espaço, e deberá regresar á Terra e encontrar seu criador.;Um corredor deberá perseguir acabar quatro replicantes roubaram nave espaço, deberá regresar á Terra encontrar criador.;47;3
12 Anos de Escravidão;181. 12 Years a Slave;2013;8.1;Biografia;Solomon Northup, um homem preto livre de Nova Iorque, é raptado e vendido como escravo.;Solomon Northup, homem preto livre Nova Iorque, raptado vendido escravo.;1;2
Antes do Amanhecer;182. Before Sunrise;1995;8.1;Drama;Um jovem e uma mulher se conhecem num trem em Europa é passam uma noite juntos em Viena.;Um jovem mulher conhecem trem Europa passam noite juntos Viena.;32;0
Em Busca do Ouro;183. The Gold Rush;1925;8.1;Aventura;Um garimpeiro vai ao Klondike em busca de ouro e encontra muito mais que isso.;Um garimpeiro vai Klondike busca ouro encontra isso.;73;6
O Grande Hotel Budapeste;184. The Grand Budapest Hotel;2014;8.1;Aventura;As aventuras de Gustave H, um lendário porteiro dum famoso hotel da ficcional República de Zubrowka entre a primeira y a segunda guerra mundial.;As aventuras Gustave H, lendário porteiro dum famoso hotel ficcional República Zubrowka primeira y segunda guerra mundial.;147;1
Ben-Hur;185. Ben-Hur;1959;8.1;Aventura;Quando um príncipe de Jerusalém é traído e enviado à escravidão por um amigo romano, ele recupera sua liberdade e retorna para se vingar.;Quando príncipe Jerusalém traído enviado escravidão amigo romano, recupera liberdade retorna vingar.;46;8
Garota Exemplar;186. Gone Girl;2014;8.1;Drama;Desde que o desaparecimento de sua esposa se tornou o foco de um intenso circo da mídia, um homem vê como esta se concentra nele quando suspeitam que pode não ser inocente.;Desde desaparecimento esposa tornou foco intenso circo mídia, homem vê concentra nele suspeitam pode inocente.;85;2
Sindicato de Ladrões;187. On the Waterfront;1954;8.1;Policial;Um ex-lutador que virou lutador enfrenta seus chefes corruptos.;Um ex-lutador virou lutador enfrenta chefes corruptos.;215;6
Barry Lyndon;188. Barry Lyndon;1975;8.1;Aventura;Um irlandês conquista o coração de uma viúva rica e assume a posição aristocrática de seu falecido marido na Inglaterra do século XVIII.;Um irlandês conquista coração viúva rica assume posição aristocrática falecido marido Inglaterra século XVIII.;40;1
Até o Último Homem;189. Hacksaw Ridge;2016;8.1;Biografia;O médico amaericano da Segunda Guerra Mundial, Desmond T. Doss, se recusa a matar pessoas e se torna o primeiro homem na história dos Estados Unidos a receber a Medalha de Honra sem atirar um tiro.;O médico amaericano Segunda Guerra Mundial, Desmond T. Doss, recusa matar pessoas torna primeiro homem história Estados Unidos receber Medalha Honra atirar tiro.;37;2
Em Nome do Pai;190. In the Name of the Father;1993;8.1;Biografia;Em 1974, uma explosão a bomba acontece em Guilford, próximo de Londres. Gerry Conlon e amigos são acusados pelo crime e presos. Giuseppe Conlon, pai de Gerry, pede ajuda à advogada Gareth Peirce, que investiga as irregularidades do caso.;Em 1974, explosão bomba acontece Guilford, próximo Londres. Gerry Conlon amigos acusados crime presos. Giuseppe Conlon, pai Gerry, pede ajuda advogada Gareth Peirce, investiga irregularidades caso.;74;4
A General;191. The General;1926;8.1;Ação;Uns espiões roubam a amada locomotiva de um engenheiro, ele a persegue sozinho através das linhas inimigas.;Uns espiões roubam amada locomotiva engenheiro, persegue sozinho através linhas inimigas.;11;7
O Franco Atirador;192. The Deer Hunter;1978;8.1;Drama;Um retrato detalhado das maneiras pelas quais a Guerra do Vietnã interrompeu a vida dos habitantes de uma pequena cidade industrial na Pensilvânia.;Um retrato detalhado maneiras quais Guerra Vietnã interrompeu vida habitantes pequena cidade industrial Pensilvânia.;143;7
Morangos Silvestres;193. Wild Strawberries;1957;8.1;Drama;Depois de viver uma vida marcada pela frieza, um professor idoso é forçado a confrontar o vazio de sua existência.;Depois viver vida marcada frieza, professor idoso forçado confrontar vazio existência.;132;8
Memórias de um Assassino;194. Memories of Murder;2003;8.1;Policial;Em uma pequena província coreana em 1986, três detetives estão procurando o culpado de uma série de estupros e assassinatos de mulheres jovens.;Em pequena província coreana 1986, três detetives procurando culpado série estupros assassinatos mulheres jovens.;124;8
O 3º Homem;195. The Third Man;1949;8.1;Filme noir;O romancista Holly Martins viaja para sombria, Viena pós-guerra, apenas para ele mesmo investigar a misteriosa morte de um velho amigo, Harry Lime;O romancista Holly Martins viaja sombria, Viena pós-guerra, apenas investigar misteriosa morte velho amigo, Harry Lime;135;6
O Salário do Medo;196. The Wages of Fear;1953;8.2;Aventura;Em uma aldeia da América do Sul, quatro homens são contratados para transportar uma remessa urgente de nitroglicerina, mas sem o equipamento de segurança.;Em aldeia América Sul, quatro homens contratados transportar remessa urgente nitroglicerina, equipamento segurança.;163;7
Relatos Selvagens;197. Wild Tales;2014;8.1;Comédia;Sies historias curtas que exploram o comportamento humano de pessoas desesperadas.;Sies historias curtas exploram comportamento humano pessoas desesperadas.;205;2
Bancando o Águia;198. Sherlock Jr.;1924;8.2;Ação;Um projecionista de cinema deseja ser um detetive e coloca suas magras habilidades em prática quando um rival o incrimina por roubar o relógio de bolso do pai de sua namorada.;Um projecionista cinema deseja detetive coloca magras habilidades prática rival incrimina roubar relógio bolso pai namorada.;38;4
Mad Max: Estrada da Fúria;199. Mad Max: Fury Road;2015;8.1;Ação;Num mundo apocalíptico, uma mulher se rebela contra um tirano ao procurar uma nova casa para um grupo de mulheres prisioneiras com a ajuda dum homem chamado Max.;Num mundo apocalíptico, mulher rebela contra tirano procurar nova casa grupo mulheres prisioneiras ajuda dum homem chamado Max.;121;1
